,Country Name,Country Code,Series Name,2018,2019,Age,Gender
6270,Japan,JPN,"Age population, age 04, male, interpolated",549675,540545,4,Male
6894,Mexico,MEX,"Age population, age 04, male, interpolated",1149886,1148699,4,Male
7518,"Korea, Rep.",KOR,"Age population, age 04, male, interpolated",231008,226892,4,Male
8142,Russian Federation,RUS,"Age population, age 04, male, interpolated",980945,991369,4,Male
8766,Saudi Arabia,SAU,"Age population, age 04, male, interpolated",308282,309853,4,Male
9390,Singapore,SGP,"Age population, age 04, male, interpolated",22200,22301,4,Male
10014,South Africa,ZAF,"Age population, age 04, male, interpolated",592959,591848,4,Male
10638,Turkey,TUR,"Age population, age 04, male, interpolated",703207,702883,4,Male
11262,United States,USA,"Age population, age 04, male, interpolated",2016975,1995089,4,Male
11886,United Kingdom,GBR,"Age population, age 04, male, interpolated",421047,418574,4,Male
31,Argentina,ARG,"Age population, age 05, female, interpolated",364442,366559,5,Female
655,Australia,AUS,"Age population, age 05, female, interpolated",157510,158443,5,Female
1279,Brazil,BRA,"Age population, age 05, female, interpolated",1424635,1427123,5,Female
1903,Canada,CAN,"Age population, age 05, female, interpolated",193142,192046,5,Female
2527,China,CHN,"Age population, age 05, female, interpolated",8110165,8138421,5,Female
3151,France,FRA,"Age population, age 05, female, interpolated",382426,379169,5,Female
3775,Germany,DEU,"Age population, age 05, female, interpolated",357946,367905,5,Female
4399,India,IND,"Age population, age 05, female, interpolated",11272808,11070531,5,Female
5023,Indonesia,IDN,"Age population, age 05, female, interpolated",2380191,2413297,5,Female
5647,Italy,ITA,"Age population, age 05, female, interpolated",259415,253442,5,Female
6271,Japan,JPN,"Age population, age 05, female, interpolated",527434,520926,5,Female
6895,Mexico,MEX,"Age population, age 05, female, interpolated",1096528,1098214,5,Female
7519,"Korea, Rep.",KOR,"Age population, age 05, female, interpolated",220989,219006,5,Female
8143,Russian Federation,RUS,"Age population, age 05, female, interpolated",912620,928061,5,Female
8767,Saudi Arabia,SAU,"Age population, age 05, female, interpolated",295579,298234,5,Female
9391,Singapore,SGP,"Age population, age 05, female, interpolated",21372,21040,5,Female
10015,South Africa,ZAF,"Age population, age 05, female, interpolated",578788,578995,5,Female
10639,Turkey,TUR,"Age population, age 05, female, interpolated",669111,671380,5,Female
11263,United States,USA,"Age population, age 05, female, interpolated",1961102,1933584,5,Female
11887,United Kingdom,GBR,"Age population, age 05, female, interpolated",404096,402514,5,Female
32,Argentina,ARG,"Age population, age 05, male, interpolated",378136,380365,5,Male
656,Australia,AUS,"Age population, age 05, male, interpolated",165949,166943,5,Male
1280,Brazil,BRA,"Age population, age 05, male, interpolated",1490382,1493902,5,Male
1904,Canada,CAN,"Age population, age 05, male, interpolated",202195,201219,5,Male
2528,China,CHN,"Age population, age 05, male, interpolated",9303534,9284659,5,Male
3152,France,FRA,"Age population, age 05, male, interpolated",399473,395703,5,Male
3776,Germany,DEU,"Age population, age 05, male, interpolated",379483,389822,5,Male
4400,India,IND,"Age population, age 05, male, interpolated",12419865,12203000,5,Male
5024,Indonesia,IDN,"Age population, age 05, male, interpolated",2484997,2514529,5,Male
5648,Italy,ITA,"Age population, age 05, male, interpolated",275250,269131,5,Male
6272,Japan,JPN,"Age population, age 05, male, interpolated",556452,549639,5,Male
6896,Mexico,MEX,"Age population, age 05, male, interpolated",1147427,1148575,5,Male
7520,"Korea, Rep.",KOR,"Age population, age 05, male, interpolated",233072,230823,5,Male
8144,Russian Federation,RUS,"Age population, age 05, male, interpolated",963374,980817,5,Male
8768,Saudi Arabia,SAU,"Age population, age 05, male, interpolated",305284,308017,5,Male
9392,Singapore,SGP,"Age population, age 05, male, interpolated",22750,22425,5,Male
10016,South Africa,ZAF,"Age population, age 05, male, interpolated",592901,592922,5,Male
10640,Turkey,TUR,"Age population, age 05, male, interpolated",700599,703105,5,Male
11264,United States,USA,"Age population, age 05, male, interpolated",2051229,2022060,5,Male
11888,United Kingdom,GBR,"Age population, age 05, male, interpolated",423671,422266,5,Male
